characters,fa_length,fa_list
K07399,4,"['Actinomycetes', 'Burkholderiales', 'T00964', 'T08201']"
K03641,6,"['Campylobacterales', 'Pseudomonadota', 'T00447', 'T01461', 'T04453', 'T06523']"
K00799,1,['Pseudomonadota']
K01679,7,"['Actinomycetes', 'Bacillota', 'Pseudomonadota', 'T01461', 'T04182', 'T06554', 'T08780']"
K03324,5,"['Comamonadaceae', 'T00577', 'T00984', 'T05738', 'T06554']"
K07456,0,[]
K01556,3,"['Micrococcales', 'Pseudomonadota', 'T02545']"
K03183,2,"['Staphylococcus', 'T00984']"
K01938,5,"['Bifidobacterium', 'Coriobacteriia', 'Micrococcaceae', 'T06085', 'T07267']"
K16363,1,['Bacteroidales']
K03316,2,"['Gammaproteobacteria', 'T00925']"
K03308,6,"['Gammaproteobacteria', 'Staphylococcus', 'T00701', 'T00984', 'T05843', 'T07354']"
K08300,2,"['Actinomycetes', 'Pseudomonadota']"
K05520,5,"['Actinomycetes', 'Burkholderiaceae', 'Pseudomonadota', 'Staphylococcus', 'T00964']"
K03116,1,['Staphylococcus']
K18707,3,"['Coriobacteriia', 'Staphylococcus', 'T06085']"
K00850,1,['T03770']
K04069,10,"['Bacteroidales', 'Bifidobacterium', 'Campylobacter', 'Coriobacteriia', 'Lachnospiraceae', 'T01461', 'T03770', 'T04453', 'T06584', 'T07267']"
K08972,5,"['Actinomycetota', 'Burkholderiales', 'T00964', 'T06584', 'T07267']"
K08311,2,"['Campylobacterales', 'Pseudomonadota']"
K00684,3,"['Pseudomonadota', 'T04021', 'T06523']"
K00943,3,"['T02133', 'T04182', 'T07943']"
K10764,5,"['Burkholderiaceae', 'Micrococcaceae', 'Pseudomonadota', 'T06554', 'T06794']"
K06195,1,['Pseudomonadota']
K00140,5,"['Actinomycetes', 'Pseudomonadota', 'T04453', 'T06554', 'T06794']"
K07113,3,"['Mycobacteriales', 'Pseudomonadota', 'T02545']"
K00020,7,"['Actinomycetota', 'Dorea', 'Pseudomonadota', 'T04453', 'T06584', 'T06719', 'T07267']"
K02825,7,"['Actinomycetota', 'Bacilli', 'Burkholderiales', 'T04453', 'T06554', 'T06584', 'T08201']"
K10804,5,"['Lactobacillus', 'Micrococcaceae', 'Pseudomonadota', 'T00964', 'T04182']"
K00208,7,"['Bacilli', 'Bacteroidales', 'Campylobacter', 'Pseudomonadota', 'T04115', 'T06554', 'T08201']"
K01572,0,[]
K07723,1,['Staphylococcus']
K03118,1,['Staphylococcus']
K03579,3,"['Actinomycetes', 'Corynebacterium', 'Pseudomonadota']"
